user_id	token_version
1	1
4	2
5	1500000999
6	1500000999
7	1500003999
8	5
9	5
10	5
11	1
12	1
13	5
14	5
15	1500004780
16	3125
17	3126
18	3129
19	3124
20	3124
21	3126
22	3128
